gene_id,Toxin_Nontoxin,Toxin_Class,Icenc-SB0587.genes.results
Icenc-SB0587_Xylosylkinase_Icenc-SB0587,Nontoxin,Nontoxin,15.02
Icenc-SB0587_XRP2_Icenc-SB0587,Nontoxin,Nontoxin,13.37
Icenc-SB0587_Xprolyl_Icenc-SB0587,Nontoxin,Nontoxin,10.75
Icenc-SB0587_XPA1_Icenc-SB0587,Nontoxin,Nontoxin,76.4
Icenc-SB0587_WW2-1_Icenc-SB0587,Nontoxin,Nontoxin,75.61
Icenc-SB0587_wntless_Icenc-SB0587,Nontoxin,Nontoxin,19.73
Icenc-SB0587_Wnt5a_Icenc-SB0587,Nontoxin,Nontoxin,21.18
Icenc-SB0587_WDrpt24_Icenc-SB0587,Nontoxin,Nontoxin,19.19
Icenc-SB0587_WDRepeat-PhosphoinositideInt-4_Icenc-SB0587,Nontoxin,Nontoxin,47.66
Icenc-SB0587_WDRepeat-55_Icenc-SB0587,Nontoxin,Nontoxin,7.71
Icenc-SB0587_WDR4_Icenc-SB0587,Nontoxin,Nontoxin,6.19
Icenc-SB0587_WDR12_Icenc-SB0587,Nontoxin,Nontoxin,30.98
Icenc-SB0587_WDInt3_Icenc-SB0587,Nontoxin,Nontoxin,18.26
Icenc-SB0587_WD83_Icenc-SB0587,Nontoxin,Nontoxin,6.95
Icenc-SB0587_WD61_Icenc-SB0587,Nontoxin,Nontoxin,48.01
Icenc-SB0587_WD53_Icenc-SB0587,Nontoxin,Nontoxin,24.72
Icenc-SB0587_WD5_Icenc-SB0587,Nontoxin,Nontoxin,205.18
Icenc-SB0587_WD40-SMU1_Icenc-SB0587,Nontoxin,Nontoxin,47.84
Icenc-SB0587_WD40-B1_Icenc-SB0587,Nontoxin,Nontoxin,30.14
Icenc-SB0587_WD1-2_Icenc-SB0587,Nontoxin,Nontoxin,108.86
Icenc-SB0587_WD1-1_Icenc-SB0587,Nontoxin,Nontoxin,84.6
Icenc-SB0587_WD-SOCS1_Icenc-SB0587,Nontoxin,Nontoxin,26.82
Icenc-SB0587_WD-SAM-UBox1_Icenc-SB0587,Nontoxin,Nontoxin,16.93
Icenc-SB0587_WD-Int1_Icenc-SB0587,Nontoxin,Nontoxin,6
Icenc-SB0587_WD-FYVE_Icenc-SB0587,Nontoxin,Nontoxin,16.99
Icenc-SB0587_WD-82_Icenc-SB0587,Nontoxin,Nontoxin,22.69
Icenc-SB0587_WD-2_Icenc-SB0587,Nontoxin,Nontoxin,52.12
Icenc-SB0587_WASH-CCDC53_Icenc-SB0587,Nontoxin,Nontoxin,37.19
Icenc-SB0587_VtypeProtonATPase_Icenc-SB0587,Nontoxin,Nontoxin,83.6
Icenc-SB0587_VtypeE1_Icenc-SB0587,Nontoxin,Nontoxin,132.88
Icenc-SB0587_VtypeD_Icenc-SB0587,Nontoxin,Nontoxin,175.33
Icenc-SB0587_VTypeATPaseG1_Icenc-SB0587,Nontoxin,Nontoxin,257.59
Icenc-SB0587_VtypeATPase16_Icenc-SB0587,Nontoxin,Nontoxin,212.25
Icenc-SB0587_VType-F_Icenc-SB0587,Nontoxin,Nontoxin,118.11
Icenc-SB0587_VType-e1_Icenc-SB0587,Nontoxin,Nontoxin,653.92
Icenc-SB0587_Vtype-d1_Icenc-SB0587,Nontoxin,Nontoxin,64.82
Icenc-SB0587_VMA21_Icenc-SB0587,Nontoxin,Nontoxin,38.93
Icenc-SB0587_Vigilin-1_Icenc-SB0587,Nontoxin,Nontoxin,131.78
Icenc-SB0587_VesicleTrafficking-SEC22b_Icenc-SB0587,Nontoxin,Nontoxin,54.4
Icenc-SB0587_VesicleTrafficking-SEC22a_Icenc-SB0587,Nontoxin,Nontoxin,18.32
Icenc-SB0587_VesicleFusing_Icenc-SB0587,Nontoxin,Nontoxin,9.41
Icenc-SB0587_VesicleB_Icenc-SB0587,Nontoxin,Nontoxin,39.72
Icenc-SB0587_VEGFC_trinity56890,Nontoxin,Nontoxin,10.85
Icenc-SB0587_VDASC1_Icenc-SB0587,Nontoxin,Nontoxin,272.55
Icenc-SB0587_VCP-p97Interacting_Icenc-SB0587,Nontoxin,Nontoxin,70.22
Icenc-SB0587_Vasculin1_Icenc-SB0587,Nontoxin,Nontoxin,41.73
Icenc-SB0587_VAM-A_Icenc-SB0587,Nontoxin,Nontoxin,192.2
Icenc-SB0587_ValyltRNA_Icenc-SB0587,Nontoxin,Nontoxin,75.06
Icenc-SB0587_VacVTA1_Icenc-SB0587,Nontoxin,Nontoxin,31.91
Icenc-SB0587_VacuolarSortingAssoc-4B_Icenc-SB0587,Nontoxin,Nontoxin,18.74
Icenc-SB0587_VacuolarSorting45_Icenc-SB0587,Nontoxin,Nontoxin,208.99
Icenc-SB0587_VacuolarSorting29_Icenc-SB0587,Nontoxin,Nontoxin,167.71
Icenc-SB0587_Vacuolar4A_Icenc-SB0587,Nontoxin,Nontoxin,100.16
Icenc-SB0587_Vacuolar36_Icenc-SB0587,Nontoxin,Nontoxin,24.77
Icenc-SB0587_Vacuolar28_Icenc-SB0587,Nontoxin,Nontoxin,259.82
Icenc-SB0587_VacSorting18_Icenc-SB0587,Nontoxin,Nontoxin,12.69
Icenc-SB0587_VacSor35_Icenc-SB0587,Nontoxin,Nontoxin,39.95
