gene_id,Toxin_Nontoxin,Toxin_Class,Icenc-SB0699.genes.results
Icenc-SB0699_UbCTermHydrolase14_Icenc-SB0699,Nontoxin,Nontoxin,26.45
Icenc-SB0699_UbConjE2T_Icenc-SB0699,Nontoxin,Nontoxin,8.94
Icenc-SB0699_UbConjE2N_Icenc-SB0699,Nontoxin,Nontoxin,107.65
Icenc-SB0699_UbConjE2L3_Icenc-SB0699,Nontoxin,Nontoxin,143.61
Icenc-SB0699_UbConjE2K_Icenc-SB0699,Nontoxin,Nontoxin,52.81
Icenc-SB0699_UbConjE2J2_Icenc-SB0699,Nontoxin,Nontoxin,8.25
Icenc-SB0699_UbConjE2J1_Icenc-SB0699,Nontoxin,Nontoxin,78.37
Icenc-SB0699_UbConjE2G2_Icenc-SB0699,Nontoxin,Nontoxin,65.61
Icenc-SB0699_UbConjE2E3_Icenc-SB0699,Nontoxin,Nontoxin,49.39
Icenc-SB0699_UbConjE2D3_Icenc-SB0699,Nontoxin,Nontoxin,166.61
Icenc-SB0699_UbConjE2D2_Icenc-SB0699,Nontoxin,Nontoxin,101.56
Icenc-SB0699_UbConjE2B_Icenc-SB0699,Nontoxin,Nontoxin,51.62
Icenc-SB0699_UbConjE2A_Icenc-SB0699,Nontoxin,Nontoxin,38.38
Icenc-SB0699_UbConjE2_Icenc-SB0699,Nontoxin,Nontoxin,56.34
Icenc-SB0699_UbConjATG3_Icenc-SB0699,Nontoxin,Nontoxin,94.47
Icenc-SB0699_UbCarboxHydrolase1_Icenc-SB0699,Nontoxin,Nontoxin,13.11
Icenc-SB0699_Ubc12_Icenc-SB0699,Nontoxin,Nontoxin,37.49
Icenc-SB0699_Ub7_Icenc-SB0699,Nontoxin,Nontoxin,14.05
Icenc-SB0699_Ub5_Icenc-SB0699,Nontoxin,Nontoxin,190.58
Icenc-SB0699_Ub3_Icenc-SB0699,Nontoxin,Nontoxin,52.42
Icenc-SB0699_U3snRNA6_Icenc-SB0699,Nontoxin,Nontoxin,6.24
Icenc-SB0699_U3nrpIMP4_Icenc-SB0699,Nontoxin,Nontoxin,15.25
Icenc-SB0699_U1snRNPA_Icenc-SB0699,Nontoxin,Nontoxin,37.04
Icenc-SB0699_TyrptRNASyn_Icenc-SB0699,Nontoxin,Nontoxin,34.23
Icenc-SB0699_TyrPP6_Icenc-SB0699,Nontoxin,Nontoxin,12.77
Icenc-SB0699_TyrPP-nonRec2_Icenc-SB0699,Nontoxin,Nontoxin,38.97
Icenc-SB0699_TyrPP-IVA2_Icenc-SB0699,Nontoxin,Nontoxin,91.78
Icenc-SB0699_TyrPP-IVA1_Icenc-SB0699,Nontoxin,Nontoxin,89.15
Icenc-SB0699_TyrPhosRec11_Icenc-SB0699,Nontoxin,Nontoxin,10.99
Icenc-SB0699_TyrosinetRNALig_Icenc-SB0699,Nontoxin,Nontoxin,79.07
Icenc-SB0699_Twinfilin2_Icenc-SB0699,Nontoxin,Nontoxin,3.64
Icenc-SB0699_TumorSusc101_Icenc-SB0699,Nontoxin,Nontoxin,73.16
Icenc-SB0699_TumorProtein-p53-2_Icenc-SB0699,Nontoxin,Nontoxin,43.48
Icenc-SB0699_TumorDiffExp2_Icenc-SB0699,Nontoxin,Nontoxin,29.62
Icenc-SB0699_Tumor-p53-11_Icenc-SB0699,Nontoxin,Nontoxin,1.86
Icenc-SB0699_TumD53_Icenc-SB0699,Nontoxin,Nontoxin,54.45
Icenc-SB0699_tubulinb4B_Icenc-SB0699,Nontoxin,Nontoxin,130.7
Icenc-SB0699_Tubulin-b5_Icenc-SB0699,Nontoxin,Nontoxin,73.4
Icenc-SB0699_Tubulin-b4_Icenc-SB0699,Nontoxin,Nontoxin,80.67
Icenc-SB0699_Tubulin-a6_Icenc-SB0699,Nontoxin,Nontoxin,91.53
Icenc-SB0699_Tubulin-a4A_Icenc-SB0699,Nontoxin,Nontoxin,158.05
Icenc-SB0699_Tubulin-a4_Icenc-SB0699,Nontoxin,Nontoxin,22.39
Icenc-SB0699_Tubulin-a1C_Icenc-SB0699,Nontoxin,Nontoxin,197.69
Icenc-SB0699_Tubulin-a1B_Icenc-SB0699,Nontoxin,Nontoxin,250.04
Icenc-SB0699_TubNephAnt_Icenc-SB0699,Nontoxin,Nontoxin,12.91
Icenc-SB0699_TUBGCP5_Icenc-SB0699,Nontoxin,Nontoxin,5.16
Icenc-SB0699_TubFoldingCoFactB_Icenc-SB0699,Nontoxin,Nontoxin,75.54
Icenc-SB0699_TubChaperoneE_Icenc-SB0699,Nontoxin,Nontoxin,9.87
Icenc-SB0699_TubChaperoneA_Icenc-SB0699,Nontoxin,Nontoxin,71.05
Icenc-SB0699_TSSC4_Icenc-SB0699,Nontoxin,Nontoxin,50.77
Icenc-SB0699_TSR2_Icenc-SB0699,Nontoxin,Nontoxin,21.12
Icenc-SB0699_TrypRch_Icenc-SB0699,Nontoxin,Nontoxin,34.38
Icenc-SB0699_Tropomodulin3_Icenc-SB0699,Nontoxin,Nontoxin,56.29
Icenc-SB0699_tRNASynthesizing1_Icenc-SB0699,Nontoxin,Nontoxin,8.6
Icenc-SB0699_tRNASelenocysteine1_Icenc-SB0699,Nontoxin,Nontoxin,44.7
Icenc-SB0699_tRNAPsuedoUridine_Icenc-SB0699,Nontoxin,Nontoxin,10.66
Icenc-SB0699_tRNA-dihydouridine_Icenc-SB0699,Nontoxin,Nontoxin,14.12
Icenc-SB0699_TRIQK_Icenc-SB0699,Nontoxin,Nontoxin,11.43
Icenc-SB0699_TripartMot39_Icenc-SB0699,Nontoxin,Nontoxin,3.72
Icenc-SB0699_TrimethABDehydro_Icenc-SB0699,Nontoxin,Nontoxin,38.97
Icenc-SB0699_TRAP-g_Icenc-SB0699,Nontoxin,Nontoxin,462.31
Icenc-SB0699_TRAP-b_Icenc-SB0699,Nontoxin,Nontoxin,570.06
Icenc-SB0699_TranslocaseOMM_Icenc-SB0699,Nontoxin,Nontoxin,192.66
Icenc-SB0699_Translocase2_Icenc-SB0699,Nontoxin,Nontoxin,861.39
Icenc-SB0699_TranslinX_Icenc-SB0699,Nontoxin,Nontoxin,14.77
Icenc-SB0699_Translin_Icenc-SB0699,Nontoxin,Nontoxin,18.92
Icenc-SB0699_transketolase_Icenc-SB0699,Nontoxin,Nontoxin,85.35
Icenc-SB0699_transgelin-1_Icenc-SB0699,Nontoxin,Nontoxin,54.68
Icenc-SB0699_TransformingRhoA-1_Icenc-SB0699,Nontoxin,Nontoxin,236.62
Icenc-SB0699_Transducin-b3_Icenc-SB0699,Nontoxin,Nontoxin,18.4
Icenc-SB0699_TranscriptionalAdapter1_Icenc-SB0699,Nontoxin,Nontoxin,9.78
Icenc-SB0699_Transaldolase_Icenc-SB0699,Nontoxin,Nontoxin,131.58
Icenc-SB0699_TransAd3_Icenc-SB0699,Nontoxin,Nontoxin,15.24
Icenc-SB0699_Transactivator3_Icenc-SB0699,Nontoxin,Nontoxin,260.2
Icenc-SB0699_Trafpp1_Icenc-SB0699,Nontoxin,Nontoxin,32.62
Icenc-SB0699_Traffppc2_Icenc-SB0699,Nontoxin,Nontoxin,74.09
Icenc-SB0699_TraffPP2_Icenc-SB0699,Nontoxin,Nontoxin,17.38
Icenc-SB0699_Trafficking6B_Icenc-SB0699,Nontoxin,Nontoxin,25.59
Icenc-SB0699_Trafficking5_Icenc-SB0699,Nontoxin,Nontoxin,30.86
Icenc-SB0699_Trafficking3_Icenc-SB0699,Nontoxin,Nontoxin,36.37
Icenc-SB0699_TP53RK_Icenc-SB0699,Nontoxin,Nontoxin,9.42
Icenc-SB0699_tom5_Icenc-SB0699,Nontoxin,Nontoxin,56.68
Icenc-SB0699_TOM34_Icenc-SB0699,Nontoxin,Nontoxin,16.52
Icenc-SB0699_TOM22_Icenc-SB0699,Nontoxin,Nontoxin,94.52
Icenc-SB0699_TOM20_Icenc-SB0699,Nontoxin,Nontoxin,84.8
Icenc-SB0699_TOM1_Icenc-SB0699,Nontoxin,Nontoxin,41.31
Icenc-SB0699_TollInteracting_Icenc-SB0699,Nontoxin,Nontoxin,4.58
Icenc-SB0699_Tob1_Icenc-SB0699,Nontoxin,Nontoxin,58.35
Icenc-SB0699_TnfB4_Icenc-SB0699,Nontoxin,Nontoxin,23.4
Icenc-SB0699_TMP93_Icenc-SB0699,Nontoxin,Nontoxin,29.94
Icenc-SB0699_TMP9-3_Icenc-SB0699,Nontoxin,Nontoxin,42.85
Icenc-SB0699_TMP9-2_Icenc-SB0699,Nontoxin,Nontoxin,79.11
Icenc-SB0699_TMP9_Icenc-SB0699,Nontoxin,Nontoxin,99.13
Icenc-SB0699_TMP85_Icenc-SB0699,Nontoxin,Nontoxin,47.45
Icenc-SB0699_TMP66_Icenc-SB0699,Nontoxin,Nontoxin,130.21
Icenc-SB0699_TMP59_Icenc-SB0699,Nontoxin,Nontoxin,542.89
Icenc-SB0699_TMP50A_Icenc-SB0699,Nontoxin,Nontoxin,106.65
Icenc-SB0699_TMP49_Icenc-SB0699,Nontoxin,Nontoxin,42.78
Icenc-SB0699_TMP41B_Icenc-SB0699,Nontoxin,Nontoxin,20.79
Icenc-SB0699_TMP39A_Icenc-SB0699,Nontoxin,Nontoxin,29.94
Icenc-SB0699_TMP2830_Icenc-SB0699,Nontoxin,Nontoxin,13.26
Icenc-SB0699_TMP205_Icenc-SB0699,Nontoxin,Nontoxin,9.66
Icenc-SB0699_TMP2-1_Icenc-SB0699,Nontoxin,Nontoxin,45.58
Icenc-SB0699_TMP185A_Icenc-SB0699,Nontoxin,Nontoxin,23.37
Icenc-SB0699_TMP184C_Icenc-SB0699,Nontoxin,Nontoxin,27.39
Icenc-SB0699_TMP180-2_Icenc-SB0699,Nontoxin,Nontoxin,63.51
Icenc-SB0699_TMP180-1_Icenc-SB0699,Nontoxin,Nontoxin,12.41
Icenc-SB0699_TMP18_Icenc-SB0699,Nontoxin,Nontoxin,31.41
Icenc-SB0699_TMP161A_Icenc-SB0699,Nontoxin,Nontoxin,8.05
Icenc-SB0699_TMP14C-2_Icenc-SB0699,Nontoxin,Nontoxin,15.93
Icenc-SB0699_TMP14C-1_Icenc-SB0699,Nontoxin,Nontoxin,229.09
Icenc-SB0699_TMP147_Icenc-SB0699,Nontoxin,Nontoxin,90.04
Icenc-SB0699_TMP127_Icenc-SB0699,Nontoxin,Nontoxin,6.42
Icenc-SB0699_TMP125_Icenc-SB0699,Nontoxin,Nontoxin,3.4
Icenc-SB0699_TMP111_Icenc-SB0699,Nontoxin,Nontoxin,172.54
Icenc-SB0699_TMP106C_Icenc-SB0699,Nontoxin,Nontoxin,30.68
Icenc-SB0699_TMP-Channel7_Icenc-SB0699,Nontoxin,Nontoxin,60.11
Icenc-SB0699_TMP-C2orf18_Icenc-SB0699,Nontoxin,Nontoxin,15.06
Icenc-SB0699_TMP-9_Icenc-SB0699,Nontoxin,Nontoxin,40.6
Icenc-SB0699_TMP-50B_Icenc-SB0699,Nontoxin,Nontoxin,14.86
Icenc-SB0699_TMP-5_Icenc-SB0699,Nontoxin,Nontoxin,16.15
Icenc-SB0699_TMP-229B_Icenc-SB0699,Nontoxin,Nontoxin,3.76
Icenc-SB0699_TMP-19_Icenc-SB0699,Nontoxin,Nontoxin,10.88
Icenc-SB0699_TMP-188_Icenc-SB0699,Nontoxin,Nontoxin,2.54
Icenc-SB0699_TMP-144_Icenc-SB0699,Nontoxin,Nontoxin,23.4
Icenc-SB0699_TMP-135_Icenc-SB0699,Nontoxin,Nontoxin,5.04
Icenc-SB0699_TMP-106B_Icenc-SB0699,Nontoxin,Nontoxin,29.74
Icenc-SB0699_TmEmp24b_Icenc-SB0699,Nontoxin,Nontoxin,501.08
Icenc-SB0699_TMBAXInh4_Icenc-SB0699,Nontoxin,Nontoxin,136.89
Icenc-SB0699_Tm63C_Icenc-SB0699,Nontoxin,Nontoxin,63.09
Icenc-SB0699_Tm234_Icenc-SB0699,Nontoxin,Nontoxin,11.82
Icenc-SB0699_Tm184A_Icenc-SB0699,Nontoxin,Nontoxin,25.09
