gene_id,Toxin_Nontoxin,Toxin_Class,Icenc-SB0699.genes.results
Toxin_Icenc-SB0699_3FTx_trinity48761,Toxin,3FTx,3712.52
Toxin_Icenc-SB0699_CNP_extender461,Toxin,CNP,4489.07
Toxin_Icenc-SB0699_CRISP-1a_extender101,Toxin,CRISP,199442.92
Toxin_Icenc-SB0699_CTL-4_trinity54344,Toxin,CTL,190.71
Toxin_Icenc-SB0699_CTL-2_trinity28839,Toxin,CTL,10.37
Toxin_Icenc-SB0699_CTL-1_trinity58792,Toxin,CTL,2.42
Toxin_Icenc-SB0699_CTL_trinity8173,Toxin,CTL,33254.43
Toxin_Icenc-SB0699_CTL_trinity41480,Toxin,CTL,665.8
Toxin_Icenc-SB0699_CTL_trinity35982,Toxin,CTL,334.05
Toxin_Icenc-SB0699_CTL_Ngen5384,Toxin,CTL,290.94
Toxin_Icenc-SB0699_Ficolin-5_extender158_Consensus,Toxin,Ficolin,10.32
Toxin_Icenc-SB0699_Ficolin-2_Ngen4467,Toxin,Ficolin,109.96
Toxin_Icenc-SB0699_Ficolin_ext319_Consensus,Toxin,Ficolin,16.41
Toxin_Icenc-SB0699_HYAL_trinity11754,Toxin,HYAL,132.39
Toxin_Icenc-SB0699_HYAL_Ngen5828,Toxin,HYAL,105.33
Toxin_Icenc-SB0699_KUN-2_trinity61185_Consensus,Toxin,KUN,11.78
Toxin_Icenc-SB0699_KUN-1_Ngen4075,Toxin,KUN,631.19
Toxin_Icenc-SB0699_PLA2InhAlpha_Consensus,Toxin,PLA2Inh,969.36
Toxin_Icenc-SB0699_PLB_Consensus,Toxin,PLB,2184.45
Toxin_Icenc-SB0699_ProproteinConvertaseSubtilisinKexin_Consensus,Toxin,Proprotein,8.79
Toxin_Icenc-SB0699_SVMPIII-9a_extender467,Toxin,SVMPIII,120844.3
Toxin_Icenc-SB0699_SVMPIII_Ngen4187,Toxin,SVMPIII,49110.52
Toxin_Icenc-SB0699_SVMPIII_extender56,Toxin,SVMPIII,93175.24
Toxin_Icenc-SB0699_SVMPIII_extender166,Toxin,SVMPIII,73646.54
Toxin_Icenc-SB0699_SVMPIII_extender139,Toxin,SVMPIII,132909.52
Toxin_Icenc-SB0699_VEGF-1_trinity34759,Toxin,VEGF,35.92
Toxin_Icenc-SB0699_Vespryn_trinity35005,Toxin,Vespryn,92.7
Toxin_Icenc-SB0699_Waprin_trinity9869,Toxin,Waprin,124.32
Icenc-SB0699_ZnFinger-CCCH-14_Icenc-SB0699,Nontoxin,Nontoxin,8.34
Icenc-SB0699_ZnFinger-574_Icenc-SB0699,Nontoxin,Nontoxin,2.56
Icenc-SB0699_ZIP9_Icenc-SB0699,Nontoxin,Nontoxin,5.24
Icenc-SB0699_ZIP13_Icenc-SB0699,Nontoxin,Nontoxin,76.67
Icenc-SB0699_ZIP11_Icenc-SB0699,Nontoxin,Nontoxin,25.43
Icenc-SB0699_ZincTran5_Icenc-SB0699,Nontoxin,Nontoxin,53.04
Icenc-SB0699_ZFSNAI2_Icenc-SB0699,Nontoxin,Nontoxin,5.09
Icenc-SB0699_ZF750_Icenc-SB0699,Nontoxin,Nontoxin,26.76
Icenc-SB0699_ZF639_Icenc-SB0699,Nontoxin,Nontoxin,9.54
Icenc-SB0699_ZF410_Icenc-SB0699,Nontoxin,Nontoxin,31.18
Icenc-SB0699_ZF36_Icenc-SB0699,Nontoxin,Nontoxin,25.57
Icenc-SB0699_ZF-VE1_Icenc-SB0699,Nontoxin,Nontoxin,11.69
Icenc-SB0699_ZF-Pegasus_Icenc-SB0699,Nontoxin,Nontoxin,6.59
Icenc-SB0699_ZF-MYND-19_Icenc-SB0699,Nontoxin,Nontoxin,10.41
Icenc-SB0699_ZF-matrin2_Icenc-SB0699,Nontoxin,Nontoxin,112.71
Icenc-SB0699_ZF-HIT1_Icenc-SB0699,Nontoxin,Nontoxin,8.1
Icenc-SB0699_ZF-FYVE21_Icenc-SB0699,Nontoxin,Nontoxin,30.05
Icenc-SB0699_ZF-FYVE19_Icenc-SB0699,Nontoxin,Nontoxin,22.24
Icenc-SB0699_ZF-CCHC9_Icenc-SB0699,Nontoxin,Nontoxin,32.69
Icenc-SB0699_ZF-AN1-2B_Icenc-SB0699,Nontoxin,Nontoxin,14.38
Icenc-SB0699_ZF-AN1-1_Icenc-SB0699,Nontoxin,Nontoxin,18.1
Icenc-SB0699_ZF-622_Icenc-SB0699,Nontoxin,Nontoxin,15.6
Icenc-SB0699_ZF-593_Icenc-SB0699,Nontoxin,Nontoxin,128.25
Icenc-SB0699_ZF-5-AN1_Icenc-SB0699,Nontoxin,Nontoxin,55.53
Icenc-SB0699_ZF-330_Icenc-SB0699,Nontoxin,Nontoxin,54.13
Icenc-SB0699_ZDHHC7_Icenc-SB0699,Nontoxin,Nontoxin,4.61
Icenc-SB0699_ZDHHC6_Icenc-SB0699,Nontoxin,Nontoxin,11.25
Icenc-SB0699_ZDHHC3_Icenc-SB0699,Nontoxin,Nontoxin,8.18
Icenc-SB0699_ZDHHC13_Icenc-SB0699,Nontoxin,Nontoxin,23.06
Icenc-SB0699_YTH2_Icenc-SB0699,Nontoxin,Nontoxin,14.93
Icenc-SB0699_YTH1-1_Icenc-SB0699,Nontoxin,Nontoxin,18.25
Icenc-SB0699_Yippee5_Icenc-SB0699,Nontoxin,Nontoxin,24.44
Icenc-SB0699_YIPF2_Icenc-SB0699,Nontoxin,Nontoxin,29.81
Icenc-SB0699_YIPF1_Icenc-SB0699,Nontoxin,Nontoxin,25
Icenc-SB0699_YEATS-4_Icenc-SB0699,Nontoxin,Nontoxin,41.39
Icenc-SB0699_XRP2_Icenc-SB0699,Nontoxin,Nontoxin,14.48
Icenc-SB0699_Xprolyl_Icenc-SB0699,Nontoxin,Nontoxin,7.49
Icenc-SB0699_XPA1_Icenc-SB0699,Nontoxin,Nontoxin,31.83
Icenc-SB0699_WW2-1_Icenc-SB0699,Nontoxin,Nontoxin,30.33
Icenc-SB0699_wntless_Icenc-SB0699,Nontoxin,Nontoxin,14.87
Icenc-SB0699_Wnt5a_Icenc-SB0699,Nontoxin,Nontoxin,13.48
Icenc-SB0699_WDRepeat-PhosphoinositideInt-4_Icenc-SB0699,Nontoxin,Nontoxin,26.78
Icenc-SB0699_WDR12_Icenc-SB0699,Nontoxin,Nontoxin,29.34
Icenc-SB0699_WDInt3_Icenc-SB0699,Nontoxin,Nontoxin,12.35
Icenc-SB0699_WD61_Icenc-SB0699,Nontoxin,Nontoxin,30.47
Icenc-SB0699_WD53_Icenc-SB0699,Nontoxin,Nontoxin,20.78
Icenc-SB0699_WD5_Icenc-SB0699,Nontoxin,Nontoxin,103.31
Icenc-SB0699_WD40-SMU1_Icenc-SB0699,Nontoxin,Nontoxin,26.47
Icenc-SB0699_WD1-2_Icenc-SB0699,Nontoxin,Nontoxin,72.55
Icenc-SB0699_WD1-1_Icenc-SB0699,Nontoxin,Nontoxin,50.75
Icenc-SB0699_WD-SAM-UBox1_Icenc-SB0699,Nontoxin,Nontoxin,6.7
Icenc-SB0699_WD-FYVE2_Icenc-SB0699,Nontoxin,Nontoxin,43.51
Icenc-SB0699_WD-82_Icenc-SB0699,Nontoxin,Nontoxin,10.81
Icenc-SB0699_WD-2_Icenc-SB0699,Nontoxin,Nontoxin,20.98
Icenc-SB0699_WASH-CCDC53_Icenc-SB0699,Nontoxin,Nontoxin,21.66
Icenc-SB0699_VtypeProtonATPase_Icenc-SB0699,Nontoxin,Nontoxin,44.87
Icenc-SB0699_VtypeE1_Icenc-SB0699,Nontoxin,Nontoxin,114.23
Icenc-SB0699_VtypeD_Icenc-SB0699,Nontoxin,Nontoxin,98.41
Icenc-SB0699_VTypeATPaseG1_Icenc-SB0699,Nontoxin,Nontoxin,78.67
Icenc-SB0699_VType-F_Icenc-SB0699,Nontoxin,Nontoxin,86.43
Icenc-SB0699_VType-e1_Icenc-SB0699,Nontoxin,Nontoxin,364.52
Icenc-SB0699_Vtype-d1_Icenc-SB0699,Nontoxin,Nontoxin,38.14
Icenc-SB0699_VMA21_Icenc-SB0699,Nontoxin,Nontoxin,39.45
Icenc-SB0699_Villin1_Icenc-SB0699,Nontoxin,Nontoxin,43.54
Icenc-SB0699_VesicleTrafficking-SEC22b_Icenc-SB0699,Nontoxin,Nontoxin,31.72
Icenc-SB0699_VesicleTrafficking-SEC22a_Icenc-SB0699,Nontoxin,Nontoxin,8.04
Icenc-SB0699_VesicleB_Icenc-SB0699,Nontoxin,Nontoxin,13.56
Icenc-SB0699_VEGFC_trinity26743,Nontoxin,Nontoxin,5.05
Icenc-SB0699_VDASC1_Icenc-SB0699,Nontoxin,Nontoxin,170.56
Icenc-SB0699_VCP-p97Interacting_Icenc-SB0699,Nontoxin,Nontoxin,87.05
Icenc-SB0699_Vasculin1_Icenc-SB0699,Nontoxin,Nontoxin,25.67
Icenc-SB0699_VAM-A_Icenc-SB0699,Nontoxin,Nontoxin,70.16
Icenc-SB0699_VacVTA1_Icenc-SB0699,Nontoxin,Nontoxin,19.14
Icenc-SB0699_VacuolarSortingAssoc-4B_Icenc-SB0699,Nontoxin,Nontoxin,13.67
Icenc-SB0699_VacuolarSorting45_Icenc-SB0699,Nontoxin,Nontoxin,155.73
Icenc-SB0699_VacuolarSorting29_Icenc-SB0699,Nontoxin,Nontoxin,108.06
Icenc-SB0699_Vacuolar4A_Icenc-SB0699,Nontoxin,Nontoxin,63.05
Icenc-SB0699_Vacuolar36_Icenc-SB0699,Nontoxin,Nontoxin,19.79
Icenc-SB0699_Vacuolar28_Icenc-SB0699,Nontoxin,Nontoxin,147.38
Icenc-SB0699_VacSor35_Icenc-SB0699,Nontoxin,Nontoxin,23.18
Icenc-SB0699_VacSNF8_Icenc-SB0699,Nontoxin,Nontoxin,27.19
Icenc-SB0699_VacProt25_Icenc-SB0699,Nontoxin,Nontoxin,40.1
Icenc-SB0699_Vac26A_Icenc-SB0699,Nontoxin,Nontoxin,46.61
Icenc-SB0699_UVExcisionRepair-RAD23-A_Icenc-SB0699,Nontoxin,Nontoxin,12.71
Icenc-SB0699_UropIIISynth_Icenc-SB0699,Nontoxin,Nontoxin,16.69
Icenc-SB0699_UridineMonophosphateSyn_Icenc-SB0699,Nontoxin,Nontoxin,4.65
Icenc-SB0699_UpstreamStim1_Icenc-SB0699,Nontoxin,Nontoxin,49.43
Icenc-SB0699_UPF0711_Icenc-SB0699,Nontoxin,Nontoxin,12.13
Icenc-SB0699_UPF0663_Icenc-SB0699,Nontoxin,Nontoxin,34.84
Icenc-SB0699_UPF0553_Icenc-SB0699,Nontoxin,Nontoxin,15.73
Icenc-SB0699_UPF0536_Icenc-SB0699,Nontoxin,Nontoxin,28.82
Icenc-SB0699_UPF0464_Icenc-SB0699,Nontoxin,Nontoxin,8.45
Icenc-SB0699_UPF0454_Icenc-SB0699,Nontoxin,Nontoxin,3.29
Icenc-SB0699_UPF0452_Icenc-SB0699,Nontoxin,Nontoxin,1.18
Icenc-SB0699_UPF0449_Icenc-SB0699,Nontoxin,Nontoxin,23.29
Icenc-SB0699_UPF0139_Icenc-SB0699,Nontoxin,Nontoxin,123.83
Icenc-SB0699_UnknwProIT1_Icenc-SB0699,Nontoxin,Nontoxin,7.94
Icenc-SB0699_unc93B1_Icenc-SB0699,Nontoxin,Nontoxin,7.74
Icenc-SB0699_UNC50-1_Icenc-SB0699,Nontoxin,Nontoxin,23.89
Icenc-SB0699_UMP-CMPKin_Icenc-SB0699,Nontoxin,Nontoxin,67.02
Icenc-SB0699_ufmProtease2_Icenc-SB0699,Nontoxin,Nontoxin,22.07
Icenc-SB0699_UDPSugarTransport-SLC35A5_Icenc-SB0699,Nontoxin,Nontoxin,2.07
Icenc-SB0699_UDPGlucoronicAcidDecarb1_Icenc-SB0699,Nontoxin,Nontoxin,33.56
Icenc-SB0699_UDPGalTranslocator_Icenc-SB0699,Nontoxin,Nontoxin,30.03
Icenc-SB0699_UBX4_Icenc-SB0699,Nontoxin,Nontoxin,90.97
Icenc-SB0699_UbRelMod2_Icenc-SB0699,Nontoxin,Nontoxin,184.5
Icenc-SB0699_UbNTermHydrolaseL5_Icenc-SB0699,Nontoxin,Nontoxin,25.33
Icenc-SB0699_UbModAct5_Icenc-SB0699,Nontoxin,Nontoxin,11.49
Icenc-SB0699_UbMod3_Icenc-SB0699,Nontoxin,Nontoxin,107.43
Icenc-SB0699_UbMod1_Icenc-SB0699,Nontoxin,Nontoxin,59.01
Icenc-SB0699_UbLigTRAF7_Icenc-SB0699,Nontoxin,Nontoxin,26.15
Icenc-SB0699_UbLigRNF13_Icenc-SB0699,Nontoxin,Nontoxin,11.64
Icenc-SB0699_UbLigRING2_Icenc-SB0699,Nontoxin,Nontoxin,54.66
Icenc-SB0699_UbLigMGRN1_Icenc-SB0699,Nontoxin,Nontoxin,64.81
Icenc-SB0699_UbLigMdm2_Icenc-SB0699,Nontoxin,Nontoxin,24.13
Icenc-SB0699_UbLigMARCH5_Icenc-SB0699,Nontoxin,Nontoxin,51.97
Icenc-SB0699_UbLigMARCH2_Icenc-SB0699,Nontoxin,Nontoxin,31.96
Icenc-SB0699_UbLigKCMF1_Icenc-SB0699,Nontoxin,Nontoxin,37.79
Icenc-SB0699_UbLigE3A_Icenc-SB0699,Nontoxin,Nontoxin,18.18
Icenc-SB0699_UbLig-RNF12A_Icenc-SB0699,Nontoxin,Nontoxin,17.08
Icenc-SB0699_UbLig-RBX1_Icenc-SB0699,Nontoxin,Nontoxin,241.74
Icenc-SB0699_UbLig-MARCH5_Icenc-SB0699,Nontoxin,Nontoxin,18.79
Icenc-SB0699_UbLig-makorin2_Icenc-SB0699,Nontoxin,Nontoxin,26.15
Icenc-SB0699_UbiSpecPep5_Icenc-SB0699,Nontoxin,Nontoxin,37.84
Icenc-SB0699_UbiqMod-1_Icenc-SB0699,Nontoxin,Nontoxin,29.34
Icenc-SB0699_UbiqLigase-RNF152-1_Icenc-SB0699,Nontoxin,Nontoxin,52.22
Icenc-SB0699_UbiqLigase-NRDP1_Icenc-SB0699,Nontoxin,Nontoxin,5.92
Icenc-SB0699_UbiqLig-TRIM8_Icenc-SB0699,Nontoxin,Nontoxin,22.2
Icenc-SB0699_UbiqLig-RNF144B_Icenc-SB0699,Nontoxin,Nontoxin,52.12
Icenc-SB0699_UbiqLig-RNF130_Icenc-SB0699,Nontoxin,Nontoxin,39.44
Icenc-SB0699_UbiqLig-RNF125_Icenc-SB0699,Nontoxin,Nontoxin,18.4
Icenc-SB0699_UbiqLig-RNF115_Icenc-SB0699,Nontoxin,Nontoxin,21.81
Icenc-SB0699_UbiqLig-MYLIP_Icenc-SB0699,Nontoxin,Nontoxin,66.08
Icenc-SB0699_UbiqCTDPhosphatase1_Icenc-SB0699,Nontoxin,Nontoxin,17.7
Icenc-SB0699_UbiqConj-E2-3_Icenc-SB0699,Nontoxin,Nontoxin,17.5
Icenc-SB0699_UbiqAssoc2_Icenc-SB0699,Nontoxin,Nontoxin,17.27
Icenc-SB0699_Ubiq4A_Icenc-SB0699,Nontoxin,Nontoxin,32.06
Icenc-SB0699_UbiConjEnzE2_Icenc-SB0699,Nontoxin,Nontoxin,42.59
Icenc-SB0699_UbiCarbHyd12_Icenc-SB0699,Nontoxin,Nontoxin,9.95
Icenc-SB0699_UbiCarbHyd10_Icenc-SB0699,Nontoxin,Nontoxin,23.3
Icenc-SB0699_UbFusionDeg1_Icenc-SB0699,Nontoxin,Nontoxin,60.43
Icenc-SB0699_UbFUBI_Icenc-SB0699,Nontoxin,Nontoxin,807.35
Icenc-SB0699_UbCTermHydrolaseL3_Icenc-SB0699,Nontoxin,Nontoxin,57.59
Icenc-SB0699_UbCTermHydrolase46_Icenc-SB0699,Nontoxin,Nontoxin,26.96
